Angle,Frequency_GHz,S11_TE_Re,S11_TE_Im,S11_TM_Re,S11_TM_Im,S21_TE_Re,S21_TE_Im,S21_TM_Re,S21_TM_Im
0.0,0.0,1.7142011092049054e-07,-2.651973094735837e-06,2.1124412477978018e-07,-2.997396058816658e-06,0.9999991759590312,5.598981956006793e-07,0.9999995717079831,7.414896553531308e-07
0.0,0.02,3.4155885001321085e-08,-0.0009399558382537618,6.501894369930397e-08,-0.0009404976158621629,0.9999988839601087,-0.00011508552682358707,0.9999991952047719,-0.0001152066552363664
0.0,0.04,-2.978963231133166e-07,-0.0018772769361643305,-2.7615106697933843e-07,-0.001878016680345435,0.9999976944002047,-0.00023072847367416644,0.9999979229378091,-0.00023115089522864155
0.0,0.06,-8.248965494463615e-07,-0.002814619429788018,-8.123461704198228e-07,-0.0028155589968656704,0.9999956073468478,-0.0003463740573277346,0.9999957549475249,-0.00034709637507812044
0.0,0.08,-1.5468757118204205e-06,-0.0037519873294792005,-1.5437433761796234e-06,-0.003753128320032426,0.9999926228450828,-0.00046202733984240053,0.9999926912519451,-0.0004630481723789457
0.0,0.1,-2.4641139090807076e-06,-0.004689385001346804,-2.4704690565174942e-06,-0.004690728965687833,0.9999887409169761,-0.0005776934407813818,0.9999887318466019,-0.0005790114414218727
0.0,0.12,-3.576680358817028e-06,-0.005626816628968728,-3.592792609128286e-06,-0.005628365101140703,0.9999839615614967,-0.0006933774446505047,0.9999838767043829,-0.0006949912665271295
0.0,0.14,-4.884739196521454e-06,-0.006564285775478377,-4.9106845661448125e-06,-0.006566041578986546,0.9999782847571695,-0.0008090844182935922,0.9999781257753724,-0.000810992766703144
0.0,0.16,-6.3886520718619905e-06,-0.007501797598155809,-6.424637047154262e-06,-0.007503760962123661,0.9999717104551136,-0.000924819480639025,0.999971478988721,-0.0009270210432286036
0.0,0.18,-8.088535212438424e-06,-0.008439355869405018,-8.134817444834558e-06,-0.008441528641642876,0.9999642385890387,-0.0010405876804767387,0.9999639362487053,-0.0010430812144950014
0.0,0.2,-9.984669455585307e-06,-0.00937696411066052,-1.0041229101815655e-05,-0.009379348030838714,0.9999558690671807,-0.001156394136014713,0.9999554974376367,-0.0011591783810427113
0.0,0.22,-1.207710984101444e-05,-0.010314627588330117,-1.2144614590412295e-05,-0.01031722374796976,0.9999466017758928,-0.0012722438951998337,0.9999461624170002,-0.0012753176429556308
0.0,0.24,-1.4366564956954385e-05,-0.011252349061012752,-1.4444801662740755e-05,-0.011255160496443366,0.9999364365771882,-0.0013881420752756453,0.999935931026303,-0.0013915040998003837
0.0,0.26,-1.6852995625011384e-05,-0.012190134149715075,-1.69423056402788e-05,-0.012193161630008241,0.9999253733146677,-0.001504093723110434,0.9999248030784443,-0.0015077428680114649
0.0,0.28,-1.953695114528132e-05,-0.01312798642859613,-1.9637579524588062e-05,-0.013131231695400977,0.9999134118029986,-0.0016201039372889675,0.9999127783666969,-0.0016240390284835038
0.0,0.3,-2.2418754775737365e-05,-0.014065910456775743,-2.253084803104175e-05,-0.014069374604926967,0.9999005518407317,-0.0017361777633582492,0.9998998566646368,-0.0017403976788693762
0.0,0.32,-2.5498600750973102e-05,-0.0150039107753437,-2.5622467727865085e-05,-0.015007593820516687,0.9998867931997752,-0.001852320298463135,0.9998860377168587,-0.001856823968406004
0.0,0.34,-2.877702282789548e-05,-0.015941988534350315,-2.8913209000303876e-05,-0.015945894487543428,0.9998721356346439,-0.0019685366563962333,0.9998713212476592,-0.0019733227662924627
0.0,0.36,-3.225440553619953e-05,-0.016880152162916138,-3.24028591738889e-05,-0.016884280178665414,0.9998565788538142,-0.0020848318976759445,0.9998557069743034,-0.002089899551672655
0.0,0.38,-3.593118735013545e-05,-0.017818402582576106,-3.609208188463933e-05,-0.017822757970882168,0.9998401225878655,-0.002201210942373399,0.9998391945589847,-0.002206559069736985
