Source_ID,Sym_Type,Var_Radius_mm,Var_Width_mm,Aux_Hex_Apothem,Width_Ratio,Path_0,Path_1,Path_2,Path_3,Path_4,Path_5,Path_6,Path_7,Path_8,Path_9,Path_10,Path_11,Path_12,Path_13,Path_14,Path_15,Path_16,Path_17,Path_18,Path_19,Path_20,Path_21,Path_22,Path_23,Path_24,Path_25,Path_26,Path_27,Path_28,Path_29,Path_30,Path_31,Path_32,Path_33,Path_34,Path_35,Path_36,Path_37,Path_38,Path_39,Path_40,Path_41,Path_42,Path_43,Path_44,Path_45,Path_46,Path_47,Path_48,Path_49,Path_50,Path_51,Path_52,Path_53,Path_54,Path_55,Path_56,Path_57,Path_58,Path_59,Path_60,Path_61
1.png,2,3,1.2,2.5981,0.4,-1.434763,1.434763,2.869527,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.png,2,4,0.01,3.4641,0.002,-1.913018,1.913018,3.826036,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.png,2,4,0.1867,3.4641,0.047,-1.913018,1.913018,3.826036,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.png,2,4,0.3633,3.4641,0.091,-1.913018,1.913018,3.826036,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.png,2,4,0.54,3.4641,0.135,-1.913018,1.913018,3.826036,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.png,2,4,0.7167,3.4641,0.179,-1.913018,1.913018,3.826036,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.png,2,4,0.8933,3.4641,0.223,-1.913018,1.913018,3.826036,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.png,2,4,1.07,3.4641,0.268,-1.913018,1.913018,3.826036,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.png,2,4,1.2467,3.4641,0.312,-1.913018,1.913018,3.826036,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.png,2,4,1.4233,3.4641,0.356,-1.913018,1.913018,3.826036,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.png,2,4,1.6,3.4641,0.4,-1.913018,1.913018,3.826036,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.png,2,5,0.01,4.3301,0.002,-2.391272,2.391272,4.782544,1e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.png,2,5,0.2311,4.3301,0.046,-2.391272,2.391272,4.782544,1e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.png,2,5,0.4522,4.3301,0.09,-2.391272,2.391272,4.782544,1e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.png,2,5,0.6733,4.3301,0.135,-2.391272,2.391272,4.782544,1e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.png,2,5,0.8944,4.3301,0.179,-2.391272,2.391272,4.782544,1e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.png,2,5,1.1156,4.3301,0.223,-2.391272,2.391272,4.782544,1e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.png,2,5,1.3367,4.3301,0.267,-2.391272,2.391272,4.782544,1e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.png,2,5,1.5578,4.3301,0.312,-2.391272,2.391272,4.782544,1e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.png,2,5,1.7789,4.3301,0.356,-2.391272,2.391272,4.782544,1e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.png,2,5,2,4.3301,0.4,-2.391272,2.391272,4.782544,1e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.png,2,6,0.01,5.1962,0.002,-2.869527,2.869526,5.739053,1e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.png,2,6,0.2756,5.1962,0.046,-2.869527,2.869526,5.739053,1e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.png,2,6,0.5411,5.1962,0.09,-2.869527,2.869526,5.739053,1e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.png,2,6,0.8067,5.1962,0.134,-2.869527,2.869526,5.739053,1e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.png,2,6,1.0722,5.1962,0.179,-2.869527,2.869526,5.739053,1e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.png,2,6,1.3378,5.1962,0.223,-2.869527,2.869526,5.739053,1e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.png,2,6,1.6033,5.1962,0.267,-2.869527,2.869526,5.739053,1e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.png,2,6,1.8689,5.1962,0.311,-2.869527,2.869526,5.739053,1e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.png,2,6,2.1344,5.1962,0.356,-2.869527,2.869526,5.739053,1e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.png,2,6,2.4,5.1962,0.4,-2.869527,2.869526,5.739053,1e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.png,2,7,0.01,6.0622,0.001,-3.347781,3.347781,6.695562,1e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.png,2,7,0.32,6.0622,0.046,-3.347781,3.347781,6.695562,1e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.png,2,7,0.63,6.0622,0.09,-3.347781,3.347781,6.695562,1e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.png,2,7,0.94,6.0622,0.134,-3.347781,3.347781,6.695562,1e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.png,2,7,1.25,6.0622,0.179,-3.347781,3.347781,6.695562,1e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.png,2,7,1.56,6.0622,0.223,-3.347781,3.347781,6.695562,1e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.png,2,7,1.87,6.0622,0.267,-3.347781,3.347781,6.695562,1e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.png,2,7,2.18,6.0622,0.311,-3.347781,3.347781,6.695562,1e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.png,2,7,2.49,6.0622,0.356,-3.347781,3.347781,6.695562,1e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.png,2,7,2.8,6.0622,0.4,-3.347781,3.347781,6.695562,1e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
