Unique_ID,Topology_Name,Angle_deg,f_TE_GHz,L_TE_nH,C_TE_fF,R_TE_ohm,f_TM_GHz,L_TM_nH,C_TM_fF,R_TM_ohm
ID180_2_R9_W0.01_Ang20,ID180_2_R9_W0.01.csv,20,8.0511,12.1819,32.08,6.825,8.1353,11.8162,32.3902,6.7358
ID180_2_R9_W0.01_Ang40,ID180_2_R9_W0.01.csv,40,8.1033,11.8369,32.59,7.109,8.2892,11.0406,33.3902,6.8282
ID180_2_R9_W0.01_Ang60,ID180_2_R9_W0.01.csv,60,8.0976,12.5974,30.67,7.491,8.4121,10.9674,32.6387,6.9868
ID180_2_R9_W0.01_Ang80,ID180_2_R9_W0.01.csv,80,8.0983,13.0865,29.51,7.833,8.5139,11.0022,31.7618,7.1608
ID181_2_R9_W0.0589_Ang0,ID181_2_R9_W0.0589.csv,0,8.3197,9.183,39.85,2.854,8.3331,9.1838,39.7192,2.8715
ID181_2_R9_W0.0589_Ang20,ID181_2_R9_W0.0589.csv,20,8.328,9.4181,38.78,2.929,8.3911,9.0659,39.6819,2.8751
ID181_2_R9_W0.0589_Ang40,ID181_2_R9_W0.0589.csv,40,8.3584,9.8288,36.89,3.113,8.5172,9.0147,38.734,2.9746
ID181_2_R9_W0.0589_Ang60,ID181_2_R9_W0.0589.csv,60,8.3196,10.4097,35.16,3.26,8.7432,8.8916,37.2663,3.0885
ID181_2_R9_W0.0589_Ang80,ID181_2_R9_W0.0589.csv,80,8.3578,10.8187,33.52,3.453,8.8368,8.93,36.3246,3.1772
ID182_2_R9_W0.1078_Ang0,ID182_2_R9_W0.1078.csv,0,8.4323,8.1769,43.57,1.999,8.414,8.1643,43.8243,1.9802
ID182_2_R9_W0.1078_Ang20,ID182_2_R9_W0.1078.csv,20,8.4378,8.3407,42.66,2.043,8.4871,8.0951,43.4412,2.032
ID182_2_R9_W0.1078_Ang40,ID182_2_R9_W0.1078.csv,40,8.4115,8.504,42.1,2.177,8.6223,7.803,43.6648,2.1063
ID182_2_R9_W0.1078_Ang60,ID182_2_R9_W0.1078.csv,60,8.4549,9.0354,39.22,2.351,8.815,7.6565,42.5756,2.1874
ID182_2_R9_W0.1078_Ang80,ID182_2_R9_W0.1078.csv,80,8.4515,9.3881,37.77,2.413,8.9431,7.6437,41.4342,2.218
ID183_2_R9_W0.1567_Ang0,ID183_2_R9_W0.1567.csv,0,8.4176,7.3064,48.93,1.503,8.4196,7.3024,48.9316,1.4966
ID183_2_R9_W0.1567_Ang20,ID183_2_R9_W0.1567.csv,20,8.4029,7.4551,48.12,1.526,8.487,7.2504,48.5028,1.5393
ID183_2_R9_W0.1567_Ang40,ID183_2_R9_W0.1567.csv,40,8.3747,7.4541,48.45,1.688,8.6342,6.8155,49.8543,1.6573
ID183_2_R9_W0.1567_Ang60,ID183_2_R9_W0.1567.csv,60,8.386,7.8964,45.61,1.775,8.8666,6.6676,48.3233,1.7275
ID183_2_R9_W0.1567_Ang80,ID183_2_R9_W0.1567.csv,80,8.3925,8.2041,43.84,1.824,8.9857,6.5928,47.5852,1.7472
ID184_2_R9_W0.2056_Ang0,ID184_2_R9_W0.2056.csv,0,8.3091,6.4971,56.47,1.204,8.3023,6.4982,56.5525,1.1968
ID184_2_R9_W0.2056_Ang20,ID184_2_R9_W0.2056.csv,20,8.2903,6.5499,56.27,1.235,8.388,6.3314,56.862,1.2544
ID184_2_R9_W0.2056_Ang40,ID184_2_R9_W0.2056.csv,40,8.2173,6.5712,57.09,1.342,8.54,6.0189,57.7047,1.3414
ID184_2_R9_W0.2056_Ang60,ID184_2_R9_W0.2056.csv,60,8.305,7.0265,52.27,1.429,8.7724,5.8508,56.2586,1.4087
ID184_2_R9_W0.2056_Ang80,ID184_2_R9_W0.2056.csv,80,8.3422,7.4675,48.74,1.439,8.9561,5.9402,53.1615,1.3812
ID190_2_R10_W0.01_Ang0,ID190_2_R10_W0.01.csv,0,7.2637,13.7237,34.98,7.031,7.2969,13.77,34.5483,7.0314
ID190_2_R10_W0.01_Ang20,ID190_2_R10_W0.01.csv,20,7.2839,13.9045,34.34,7.164,7.3055,13.6146,34.861,7.0747
ID190_2_R10_W0.01_Ang40,ID190_2_R10_W0.01.csv,40,7.3048,14.0117,33.88,7.651,7.4581,12.9334,35.2104,7.3226
ID190_2_R10_W0.01_Ang60,ID190_2_R10_W0.01.csv,60,7.2782,14.8949,32.1,8.094,7.5999,12.9172,33.951,7.6409
ID190_2_R10_W0.01_Ang80,ID190_2_R10_W0.01.csv,80,7.3012,14.3473,33.12,8.133,7.6594,12.0214,35.9166,7.5829
ID191_2_R10_W0.0644_Ang0,ID191_2_R10_W0.0644.csv,0,7.5377,10.6502,41.86,2.917,7.5172,10.6529,42.0782,2.9105
ID191_2_R10_W0.0644_Ang20,ID191_2_R10_W0.0644.csv,20,7.5454,10.9976,40.46,2.913,7.5522,10.7182,41.435,2.8466
ID191_2_R10_W0.0644_Ang40,ID191_2_R10_W0.0644.csv,40,7.529,10.9947,40.64,3.119,7.6805,10.0131,42.8837,2.9954
ID191_2_R10_W0.0644_Ang60,ID191_2_R10_W0.0644.csv,60,7.5312,11.6574,38.31,3.321,7.8593,9.9387,41.2611,3.1068
ID191_2_R10_W0.0644_Ang80,ID191_2_R10_W0.0644.csv,80,7.5331,12.1419,36.76,3.468,7.9627,9.9884,39.9964,3.1795
ID192_2_R10_W0.1189_Ang0,ID192_2_R10_W0.1189.csv,0,7.6063,9.1394,47.9,1.965,7.6007,9.129,48.0297,1.9635
ID192_2_R10_W0.1189_Ang20,ID192_2_R10_W0.1189.csv,20,7.6353,9.3814,46.31,1.997,7.6205,9.1223,47.8163,1.9425
ID192_2_R10_W0.1189_Ang40,ID192_2_R10_W0.1189.csv,40,7.6098,9.4973,46.06,2.182,7.7788,8.6237,48.5429,2.1031
ID192_2_R10_W0.1189_Ang60,ID192_2_R10_W0.1189.csv,60,7.6294,10.0439,43.33,2.317,7.9428,8.4928,47.2756,2.1662
ID192_2_R10_W0.1189_Ang80,ID192_2_R10_W0.1189.csv,80,7.6268,10.4467,41.68,2.491,8.0735,8.4711,45.8752,2.2188
ID193_2_R10_W0.1733_Ang0,ID193_2_R10_W0.1733.csv,0,7.5947,8.0119,54.81,1.545,7.6018,8.0331,54.5667,1.5326
ID193_2_R10_W0.1733_Ang20,ID193_2_R10_W0.1733.csv,20,7.6116,8.149,53.65,1.541,7.6011,7.8464,55.8744,1.5286
ID193_2_R10_W0.1733_Ang40,ID193_2_R10_W0.1733.csv,40,7.5637,8.3377,53.1,1.666,7.7647,7.5122,55.927,1.6503
ID193_2_R10_W0.1733_Ang60,ID193_2_R10_W0.1733.csv,60,7.6555,9.0261,47.88,1.756,7.99,7.5949,52.2429,1.6534
ID193_2_R10_W0.1733_Ang80,ID193_2_R10_W0.1733.csv,80,7.5868,9.1448,48.12,1.83,8.0967,7.2848,53.0407,1.7606
ID194_2_R10_W0.2278_Ang0,ID194_2_R10_W0.2278.csv,0,7.5186,7.2751,61.59,1.183,7.5128,7.262,61.798,1.1818
ID194_2_R10_W0.2278_Ang20,ID194_2_R10_W0.2278.csv,20,7.5248,7.2772,61.47,1.268,7.392,6.8786,67.3937,1.217
ID194_2_R10_W0.2278_Ang40,ID194_2_R10_W0.2278.csv,40,7.4952,7.3963,60.96,1.362,7.5656,6.4977,68.1079,1.2932
ID194_2_R10_W0.2278_Ang60,ID194_2_R10_W0.2278.csv,60,7.5561,7.9915,55.52,1.432,7.8502,6.5385,62.8631,1.3136
ID194_2_R10_W0.2278_Ang80,ID194_2_R10_W0.2278.csv,80,7.5524,8.3006,53.5,1.466,8.0122,6.4725,60.9627,1.3626
ID195_2_R10_W0.2822_Ang0,ID195_2_R10_W0.2822.csv,0,7.3418,6.5127,72.16,0.917,7.3357,6.5116,72.2879,0.9183
ID195_2_R10_W0.2822_Ang20,ID195_2_R10_W0.2822.csv,20,7.3274,6.4196,73.49,1.037,7.1095,5.9895,83.6692,1.0071
ID195_2_R10_W0.2822_Ang40,ID195_2_R10_W0.2822.csv,40,7.3362,6.6682,70.58,1.097,7.429,5.8688,78.2046,1.0198
ID195_2_R10_W0.2822_Ang60,ID195_2_R10_W0.2822.csv,60,7.3549,7.0206,66.7,1.147,7.669,5.6012,76.8921,1.0786
ID195_2_R10_W0.2822_Ang80,ID195_2_R10_W0.2822.csv,80,7.3574,7.2584,64.47,1.193,7.8026,5.4741,76.0071,1.0803
ID196_2_R10_W0.3367_Ang0,ID196_2_R10_W0.3367.csv,0,6.8086,5.5208,98.98,0.773,6.843,5.5529,97.4159,0.7821
ID196_2_R10_W0.3367_Ang20,ID196_2_R10_W0.3367.csv,20,6.8582,5.6202,95.82,0.792,6.5255,5.2145,114.0768,0.7632
ID196_2_R10_W0.3367_Ang40,ID196_2_R10_W0.3367.csv,40,6.7995,5.6795,96.47,0.861,6.8621,4.936,108.9801,0.8274
ID196_2_R10_W0.3367_Ang60,ID196_2_R10_W0.3367.csv,60,6.8812,6.0339,88.66,0.862,7.224,4.7616,101.9378,0.8314
ID196_2_R10_W0.3367_Ang80,ID196_2_R10_W0.3367.csv,80,6.8379,6.1126,88.63,0.922,7.2994,4.4764,106.2036,0.8751
ID197_2_R10_W0.3911_Ang0,ID197_2_R10_W0.3911.csv,0,3.8407,4.04,425.05,0.488,3.8153,4.0452,430.1728,0.4918
ID197_2_R10_W0.3911_Ang20,ID197_2_R10_W0.3911.csv,20,3.8397,4.068,422.35,0.503,3.7697,3.9192,454.7977,0.4859
ID197_2_R10_W0.3911_Ang40,ID197_2_R10_W0.3911.csv,40,3.8453,4.103,417.51,0.413,4.0216,3.6384,430.4506,0.5966
ID197_2_R10_W0.3911_Ang60,ID197_2_R10_W0.3911.csv,60,3.8505,4.155,411.18,0.523,4.219,3.3423,425.7676,0.5162
ID197_2_R10_W0.3911_Ang80,ID197_2_R10_W0.3911.csv,80,3.859,4.1942,405.54,0.523,4.3874,3.128,420.6931,0.5292
ID20_1_R3_W0.01_Ang0,ID20_1_R3_W0.01.csv,0,17.4674,1.8991,43.72,1.669,17.4747,1.8996,43.6671,1.6718
ID20_1_R3_W0.01_Ang20,ID20_1_R3_W0.01.csv,20,17.6263,1.9485,41.84,1.809,17.7007,1.8589,43.4901,1.6891
ID20_1_R3_W0.01_Ang40,ID20_1_R3_W0.01.csv,40,18.0332,2.0985,37.12,2.211,18.3181,1.7667,42.7295,1.7346
ID20_1_R3_W0.01_Ang60,ID20_1_R3_W0.01.csv,60,18.5079,2.3207,31.86,2.791,19.0667,1.6722,41.6682,1.7898
ID20_1_R3_W0.01_Ang80,ID20_1_R3_W0.01.csv,80,18.8103,2.5006,28.63,3.27,19.5734,1.614,40.9632,1.8531
ID220_3_R3_W0.01_Ang20,ID220_3_R3_W0.01.csv,20,18.4138,2.7483,27.18,3.572,18.4505,2.6739,27.8277,3.4675
ID220_3_R3_W0.01_Ang40,ID220_3_R3_W0.01.csv,40,18.4374,2.0722,35.96,2.725,18.6842,4.0616,17.8644,5.4086
ID221_3_R3_W0.0189_Ang0,ID221_3_R3_W0.0189.csv,0,18.7329,2.3817,30.31,2.715,18.7305,2.3816,30.3163,2.719
ID221_3_R3_W0.0189_Ang20,ID221_3_R3_W0.0189.csv,20,18.7554,2.4444,29.46,2.812,18.777,2.3761,30.2358,2.7317
ID221_3_R3_W0.0189_Ang40,ID221_3_R3_W0.0189.csv,40,18.6723,2.6798,27.11,2.979,18.8414,2.4179,29.5106,2.7183
ID221_3_R3_W0.0189_Ang60,ID221_3_R3_W0.0189.csv,60,18.6903,2.8961,25.04,3.237,18.9708,2.4054,29.2602,2.7354
ID221_3_R3_W0.0189_Ang80,ID221_3_R3_W0.0189.csv,80,18.6995,3.0526,23.73,3.436,19.0539,2.3973,29.1037,2.7693
ID222_3_R3_W0.0278_Ang0,ID222_3_R3_W0.0278.csv,0,18.9343,2.1924,32.23,2.253,18.9264,2.1918,32.263,2.2562
ID222_3_R3_W0.0278_Ang20,ID222_3_R3_W0.0278.csv,20,18.9414,2.2514,31.36,2.319,18.9892,2.188,32.106,2.2447
ID222_3_R3_W0.0278_Ang40,ID222_3_R3_W0.0278.csv,40,18.9386,2.4249,29.12,2.486,19.1219,2.1766,31.8271,2.2511
ID222_3_R3_W0.0278_Ang60,ID222_3_R3_W0.0278.csv,60,18.9029,2.6688,26.56,2.684,19.2115,2.208,31.0824,2.2592
ID222_3_R3_W0.0278_Ang80,ID222_3_R3_W0.0278.csv,80,18.9249,2.8144,25.13,2.859,19.2936,2.1927,31.0345,2.2771
ID223_3_R3_W0.0367_Ang0,ID223_3_R3_W0.0367.csv,0,19.0269,2.0488,34.15,1.941,19.0344,2.0484,34.1302,1.9254
ID223_3_R3_W0.0367_Ang20,ID223_3_R3_W0.0367.csv,20,19.0415,2.1027,33.22,2.007,19.0877,2.04,34.0798,1.9387
ID223_3_R3_W0.0367_Ang40,ID223_3_R3_W0.0367.csv,40,19.0699,2.2511,30.94,2.165,19.2405,2.0242,33.8028,1.9434
ID223_3_R3_W0.0367_Ang60,ID223_3_R3_W0.0367.csv,60,19.0382,2.4815,28.16,2.341,19.3813,2.0419,33.0251,1.967
ID223_3_R3_W0.0367_Ang80,ID223_3_R3_W0.0367.csv,80,19.0562,2.6115,26.71,2.485,19.4799,2.0246,32.9709,1.9899
ID224_3_R3_W0.0456_Ang0,ID224_3_R3_W0.0456.csv,0,19.0642,1.9119,36.45,1.711,19.0652,1.9112,36.4631,1.6985
ID224_3_R3_W0.0456_Ang20,ID224_3_R3_W0.0456.csv,20,19.0704,1.9622,35.5,1.766,19.1111,1.9031,36.4422,1.7158
ID224_3_R3_W0.0456_Ang40,ID224_3_R3_W0.0456.csv,40,19.0852,2.101,33.1,1.901,19.2802,1.8851,36.1478,1.7408
ID224_3_R3_W0.0456_Ang60,ID224_3_R3_W0.0456.csv,60,19.0796,2.3156,30.05,2.057,19.4312,1.9042,35.2312,1.7194
ID224_3_R3_W0.0456_Ang80,ID224_3_R3_W0.0456.csv,80,19.1098,2.4344,28.49,2.187,19.5397,1.8826,35.2418,1.7457
ID225_3_R3_W0.0544_Ang0,ID225_3_R3_W0.0544.csv,0,18.9444,1.7903,39.42,1.543,18.9517,1.7906,39.3873,1.5462
ID225_3_R3_W0.0544_Ang20,ID225_3_R3_W0.0544.csv,20,18.9608,1.837,38.35,1.596,19.0129,1.7823,39.3152,1.554
ID225_3_R3_W0.0544_Ang40,ID225_3_R3_W0.0544.csv,40,18.9767,1.9941,35.27,1.695,19.19,1.7899,38.4284,1.5331
ID225_3_R3_W0.0544_Ang60,ID225_3_R3_W0.0544.csv,60,19.0003,2.1555,32.55,1.839,19.392,1.7706,38.0418,1.5514
ID225_3_R3_W0.0544_Ang80,ID225_3_R3_W0.0544.csv,80,19.0182,2.2699,30.85,1.956,19.512,1.7528,37.9576,1.589
ID226_3_R3_W0.0633_Ang0,ID226_3_R3_W0.0633.csv,0,18.5562,1.6989,43.3,1.366,18.571,1.6958,43.3106,1.3639
ID226_3_R3_W0.0633_Ang20,ID226_3_R3_W0.0633.csv,20,18.5738,1.7388,42.23,1.394,18.6427,1.6865,43.2162,1.3642
ID226_3_R3_W0.0633_Ang40,ID226_3_R3_W0.0633.csv,40,18.573,1.8578,39.53,1.493,18.8087,1.6687,42.9085,1.358
ID226_3_R3_W0.0633_Ang60,ID226_3_R3_W0.0633.csv,60,18.6034,1.998,36.63,1.637,19.0118,1.6451,42.5981,1.3745
ID226_3_R3_W0.0633_Ang80,ID226_3_R3_W0.0633.csv,80,18.6211,2.0916,34.93,1.726,19.1424,1.6231,42.5899,1.4058
ID230_3_R4_W0.01_Ang0,ID230_3_R4_W0.01.csv,0,13.8339,3.7433,35.36,3.867,13.8353,3.7419,35.3643,3.8758
ID230_3_R4_W0.01_Ang20,ID230_3_R4_W0.01.csv,20,13.8336,3.8471,34.41,3.983,13.893,3.7345,35.1414,3.8793
ID230_3_R4_W0.01_Ang40,ID230_3_R4_W0.01.csv,40,13.7272,4.3425,30.96,4.351,13.8739,3.9273,33.5083,4.0009
ID230_3_R4_W0.01_Ang60,ID230_3_R4_W0.01.csv,60,13.8175,4.4492,29.82,4.663,14.0861,3.7056,34.4506,3.9572
ID230_3_R4_W0.01_Ang80,ID230_3_R4_W0.01.csv,80,13.8152,4.6869,28.32,4.925,14.1439,3.6954,34.2641,3.9964
ID231_3_R4_W0.0222_Ang0,ID231_3_R4_W0.0222.csv,0,14.1033,3.3576,37.93,2.806,14.092,3.3608,37.9533,2.8033
ID231_3_R4_W0.0222_Ang20,ID231_3_R4_W0.0222.csv,20,14.1033,3.4523,36.89,2.891,14.1324,3.3569,37.7812,2.8109
ID231_3_R4_W0.0222_Ang40,ID231_3_R4_W0.0222.csv,40,14.1003,3.7007,34.43,3.112,14.2291,3.3362,37.5008,2.8467
ID231_3_R4_W0.0222_Ang60,ID231_3_R4_W0.0222.csv,60,14.0989,4.0162,31.73,3.395,14.3332,3.3258,37.0728,2.8703
ID231_3_R4_W0.0222_Ang80,ID231_3_R4_W0.0222.csv,80,14.1032,4.2303,30.1,3.603,14.4074,3.3051,36.9218,2.8915
ID232_3_R4_W0.0344_Ang0,ID232_3_R4_W0.0344.csv,0,14.2883,3.0769,40.32,2.281,14.2779,3.0813,40.3246,2.2648
ID232_3_R4_W0.0344_Ang20,ID232_3_R4_W0.0344.csv,20,14.2873,3.1659,39.2,2.345,14.322,3.0723,40.1945,2.2743
ID232_3_R4_W0.0344_Ang40,ID232_3_R4_W0.0344.csv,40,14.278,3.3963,36.59,2.532,14.4369,3.0547,39.7856,2.2958
ID232_3_R4_W0.0344_Ang60,ID232_3_R4_W0.0344.csv,60,14.2904,3.694,33.58,2.77,14.5612,3.039,39.3113,2.3408
ID232_3_R4_W0.0344_Ang80,ID232_3_R4_W0.0344.csv,80,14.2927,3.8993,31.8,2.947,14.6405,3.0217,39.1099,2.3573
ID233_3_R4_W0.0467_Ang0,ID233_3_R4_W0.0467.csv,0,14.3821,2.8429,43.08,1.924,14.4021,2.8415,42.9778,1.9291
ID233_3_R4_W0.0467_Ang20,ID233_3_R4_W0.0467.csv,20,14.3891,2.9226,41.86,1.989,14.4589,2.8336,42.7594,1.9421
ID233_3_R4_W0.0467_Ang40,ID233_3_R4_W0.0467.csv,40,14.3986,3.1432,38.87,2.143,14.576,2.8134,42.3767,1.9638
ID233_3_R4_W0.0467_Ang60,ID233_3_R4_W0.0467.csv,60,14.4069,3.41,35.79,2.357,14.6956,2.7959,41.9513,1.9844
ID233_3_R4_W0.0467_Ang80,ID233_3_R4_W0.0467.csv,80,14.4054,3.5993,33.91,2.507,14.7714,2.7812,41.7406,1.9973
ID234_3_R4_W0.0589_Ang0,ID234_3_R4_W0.0589.csv,0,14.4344,2.6455,45.96,1.69,14.4295,2.6459,45.9789,1.6841
ID234_3_R4_W0.0589_Ang20,ID234_3_R4_W0.0589.csv,20,14.4376,2.7197,44.68,1.747,14.4793,2.6369,45.8196,1.6965
ID234_3_R4_W0.0589_Ang40,ID234_3_R4_W0.0589.csv,40,14.4335,2.9197,41.64,1.884,14.6121,2.6133,45.3966,1.7122
ID234_3_R4_W0.0589_Ang60,ID234_3_R4_W0.0589.csv,60,14.4379,3.1721,38.31,2.061,14.7542,2.5959,44.8254,1.7287
ID234_3_R4_W0.0589_Ang80,ID234_3_R4_W0.0589.csv,80,14.4528,3.3476,36.22,2.194,14.8507,2.5767,44.5737,1.7397
ID235_3_R4_W0.0711_Ang0,ID235_3_R4_W0.0711.csv,0,14.4426,2.5123,48.34,1.526,14.4478,2.5124,48.3002,1.5263
ID235_3_R4_W0.0711_Ang20,ID235_3_R4_W0.0711.csv,20,14.3628,2.5492,48.17,1.53,14.4223,2.4685,49.3329,1.4914
ID235_3_R4_W0.0711_Ang40,ID235_3_R4_W0.0711.csv,40,14.3829,2.7318,44.82,1.67,14.5732,2.4439,48.8025,1.5261
ID235_3_R4_W0.0711_Ang60,ID235_3_R4_W0.0711.csv,60,14.3962,2.9607,41.28,1.816,14.7257,2.4196,48.2784,1.5413
ID235_3_R4_W0.0711_Ang80,ID235_3_R4_W0.0711.csv,80,14.3919,3.126,39.12,1.91,14.8285,2.3975,48.05,1.5451
ID236_3_R4_W0.0833_Ang0,ID236_3_R4_W0.0833.csv,0,14.2094,2.3438,53.53,1.353,14.2131,2.3442,53.4888,1.3432
ID236_3_R4_W0.0833_Ang20,ID236_3_R4_W0.0833.csv,20,14.2267,2.4043,52.05,1.399,14.2785,2.3297,53.3311,1.3644
ID236_3_R4_W0.0833_Ang40,ID236_3_R4_W0.0833.csv,40,14.1501,2.534,49.92,1.477,14.3231,2.2698,54.3981,1.3346
ID236_3_R4_W0.0833_Ang60,ID236_3_R4_W0.0833.csv,60,14.1483,2.7342,46.28,1.59,14.4885,2.2418,53.8254,1.3404
ID236_3_R4_W0.0833_Ang80,ID236_3_R4_W0.0833.csv,80,14.1306,2.8733,44.15,1.692,14.5925,2.215,53.7048,1.3658
ID240_3_R5_W0.01_Ang0,ID240_3_R5_W0.01.csv,0,10.9911,5.1369,40.82,4.305,10.9938,5.1375,40.7938,4.3152
ID240_3_R5_W0.01_Ang20,ID240_3_R5_W0.01.csv,20,10.998,5.2744,39.7,4.431,11.0259,5.1214,40.684,4.3366
ID240_3_R5_W0.01_Ang40,ID240_3_R5_W0.01.csv,40,11.0903,5.3804,38.28,4.809,11.1183,4.8985,41.8309,4.3796
ID240_3_R5_W0.01_Ang60,ID240_3_R5_W0.01.csv,60,11.1381,5.807,35.16,5.248,11.1193,4.8687,42.0796,4.4145
ID240_3_R5_W0.01_Ang80,ID240_3_R5_W0.01.csv,80,10.9972,6.605,31.71,5.491,11.1637,5.2806,38.4898,4.4769
ID241_3_R5_W0.0256_Ang0,ID241_3_R5_W0.0256.csv,0,11.3104,4.3714,45.3,2.905,11.3016,4.3792,45.2858,2.9093
ID241_3_R5_W0.0256_Ang20,ID241_3_R5_W0.0256.csv,20,11.3121,4.4989,44.0,2.986,11.3174,4.3807,45.1439,2.8951
ID241_3_R5_W0.0256_Ang40,ID241_3_R5_W0.0256.csv,40,11.3324,4.8055,41.05,3.22,11.3723,4.3517,45.0072,2.9147
ID241_3_R5_W0.0256_Ang60,ID241_3_R5_W0.0256.csv,60,11.3711,5.2172,37.55,3.536,11.4148,4.3373,44.8214,2.9718
ID241_3_R5_W0.0256_Ang80,ID241_3_R5_W0.0256.csv,80,11.415,5.4919,35.4,3.788,11.421,4.3087,45.0698,3.0002
ID242_3_R5_W0.0411_Ang0,ID242_3_R5_W0.0411.csv,0,11.4828,3.9937,48.1,2.279,11.4553,3.9983,48.2781,2.2743
ID242_3_R5_W0.0411_Ang20,ID242_3_R5_W0.0411.csv,20,11.4776,4.109,46.8,2.341,11.5034,3.988,47.9995,2.2821
ID242_3_R5_W0.0411_Ang40,ID242_3_R5_W0.0411.csv,40,11.4938,4.4105,43.47,2.543,11.5721,3.9671,47.6806,2.3061
ID242_3_R5_W0.0411_Ang60,ID242_3_R5_W0.0411.csv,60,11.5436,4.783,39.74,2.81,11.6279,3.9492,47.4385,2.3278
ID242_3_R5_W0.0411_Ang80,ID242_3_R5_W0.0411.csv,80,11.5717,5.0495,37.46,3.006,11.6476,3.9188,47.6444,2.3409
ID243_3_R5_W0.0567_Ang0,ID243_3_R5_W0.0567.csv,0,11.5951,3.6659,51.39,1.922,11.5944,3.6769,51.2458,1.9049
ID243_3_R5_W0.0567_Ang20,ID243_3_R5_W0.0567.csv,20,11.6138,3.7652,49.88,1.977,11.6213,3.6575,51.2796,1.8983
ID243_3_R5_W0.0567_Ang40,ID243_3_R5_W0.0567.csv,40,11.638,4.0501,46.18,2.147,11.7016,3.6361,50.8768,1.9307
ID243_3_R5_W0.0567_Ang60,ID243_3_R5_W0.0567.csv,60,11.6297,4.3916,42.65,2.384,11.7616,3.6073,50.7614,1.966
ID243_3_R5_W0.0567_Ang80,ID243_3_R5_W0.0567.csv,80,11.6519,4.6428,40.18,2.53,11.7856,3.5929,50.757,1.9506
ID244_3_R5_W0.0722_Ang0,ID244_3_R5_W0.0722.csv,0,11.6374,3.4299,54.53,1.647,11.6381,3.4255,54.5952,1.6404
ID244_3_R5_W0.0722_Ang20,ID244_3_R5_W0.0722.csv,20,11.6343,3.5111,53.3,1.697,11.683,3.4057,54.4913,1.654
ID244_3_R5_W0.0722_Ang40,ID244_3_R5_W0.0722.csv,40,11.6634,3.7617,49.5,1.869,11.7666,3.3719,54.2583,1.6675
ID244_3_R5_W0.0722_Ang60,ID244_3_R5_W0.0722.csv,60,11.677,4.0855,45.47,2.051,11.8451,3.3472,53.9366,1.7005
ID244_3_R5_W0.0722_Ang80,ID244_3_R5_W0.0722.csv,80,11.7202,4.3216,42.67,2.187,11.8608,3.3221,54.2004,1.6958
ID245_3_R5_W0.0878_Ang0,ID245_3_R5_W0.0878.csv,0,11.6025,3.1808,59.16,1.453,11.6,3.1795,59.2061,1.4489
ID245_3_R5_W0.0878_Ang20,ID245_3_R5_W0.0878.csv,20,11.6139,3.2796,57.26,1.495,11.6475,3.1756,58.7961,1.4514
ID245_3_R5_W0.0878_Ang40,ID245_3_R5_W0.0878.csv,40,11.6445,3.5102,53.22,1.634,11.732,3.1389,58.6295,1.4754
ID245_3_R5_W0.0878_Ang60,ID245_3_R5_W0.0878.csv,60,11.6617,3.8045,48.96,1.813,11.803,3.1028,58.6006,1.4954
ID245_3_R5_W0.0878_Ang80,ID245_3_R5_W0.0878.csv,80,11.6833,4.0127,46.25,1.924,11.8396,3.075,58.7658,1.515
ID246_3_R5_W0.1033_Ang0,ID246_3_R5_W0.1033.csv,0,11.3957,2.9612,65.87,1.3,11.4101,2.9624,65.677,1.3113
ID246_3_R5_W0.1033_Ang20,ID246_3_R5_W0.1033.csv,20,11.4101,3.0399,64.0,1.337,11.4504,2.9456,65.5875,1.3038
ID246_3_R5_W0.1033_Ang40,ID246_3_R5_W0.1033.csv,40,11.4401,3.254,59.48,1.447,11.5349,2.9063,65.5044,1.3197
ID246_3_R5_W0.1033_Ang60,ID246_3_R5_W0.1033.csv,60,11.4711,3.5177,54.72,1.608,11.6456,2.8683,65.1171,1.3531
ID246_3_R5_W0.1033_Ang80,ID246_3_R5_W0.1033.csv,80,11.4626,3.6968,52.15,1.691,11.6772,2.8385,65.4439,1.3492
ID247_3_R5_W0.1189_Ang0,ID247_3_R5_W0.1189.csv,0,7.3462,2.7188,172.64,0.953,7.3867,2.7206,170.6389,0.9523
ID247_3_R5_W0.1189_Ang20,ID247_3_R5_W0.1189.csv,20,7.3605,2.7465,170.24,0.973,7.3513,2.6951,173.9177,0.9576
ID247_3_R5_W0.1189_Ang40,ID247_3_R5_W0.1189.csv,40,7.2821,2.8114,169.9,0.994,7.511,2.6113,171.9428,0.9691
ID247_3_R5_W0.1189_Ang60,ID247_3_R5_W0.1189.csv,60,7.7762,2.9264,143.14,1.058,8.0267,2.5323,155.2577,0.9996
ID247_3_R5_W0.1189_Ang80,ID247_3_R5_W0.1189.csv,80,7.7756,2.985,140.36,1.092,8.028,2.4733,158.9077,1.0006
ID250_3_R6_W0.01_Ang0,ID250_3_R6_W0.01.csv,0,9.201,5.9819,50.02,4.591,9.1134,6.0074,50.7686,4.5689
ID250_3_R6_W0.01_Ang20,ID250_3_R6_W0.01.csv,20,9.1993,6.1664,48.54,4.747,9.1646,5.9894,50.3533,4.6091
ID250_3_R6_W0.01_Ang40,ID250_3_R6_W0.01.csv,40,9.1527,7.0904,42.65,5.127,9.2519,6.4231,46.0721,4.7149
ID250_3_R6_W0.01_Ang60,ID250_3_R6_W0.01.csv,60,9.1151,7.9697,38.25,5.626,9.28,6.6919,43.9536,4.8341
