Unique_ID,Topology_Name,Angle_deg,f_TE_GHz,L_TE_nH,C_TE_fF,R_TE_ohm,f_TM_GHz,L_TM_nH,C_TM_fF,R_TM_ohm
ID1051_12_R6.0_W0.0422_Ang40,ID1051_12_R6.0_W0.0422.csv,40,14.9994,13.4051,8.4,6.758,15.0498,12.2123,9.1576,6.1494
ID1051_12_R6.0_W0.0422_Ang60,ID1051_12_R6.0_W0.0422.csv,60,14.9988,15.9741,7.05,8.557,14.7274,14.1564,8.2496,6.4618
ID1051_12_R6.0_W0.0422_Ang80,ID1051_12_R6.0_W0.0422.csv,80,15.0637,18.8326,5.93,9.094,14.3811,16.2438,7.54,6.5947
ID1052_12_R6.0_W0.0744_Ang0,ID1052_12_R6.0_W0.0744.csv,0,15.7762,9.1959,11.07,4.236,15.9082,9.1134,10.9829,4.2516
ID1052_12_R6.0_W0.0744_Ang20,ID1052_12_R6.0_W0.0744.csv,20,15.7371,9.876,10.36,4.485,15.8208,9.5259,10.6238,4.3493
ID1052_12_R6.0_W0.0744_Ang40,ID1052_12_R6.0_W0.0744.csv,40,15.5943,11.8318,8.8,5.067,15.5481,10.8876,9.624,4.57
ID1052_12_R6.0_W0.0744_Ang60,ID1052_12_R6.0_W0.0744.csv,60,15.5513,14.6069,7.17,6.42,15.091,13.2026,8.4246,4.6977
ID1052_12_R6.0_W0.0744_Ang80,ID1052_12_R6.0_W0.0744.csv,80,15.5978,17.2656,6.03,6.614,14.7216,15.3103,7.6339,4.7438
ID1053_12_R6.0_W0.1067_Ang0,ID1053_12_R6.0_W0.1067.csv,0,16.2594,8.3719,11.44,3.479,16.2811,8.3614,11.4286,3.4412
ID1053_12_R6.0_W0.1067_Ang20,ID1053_12_R6.0_W0.1067.csv,20,16.2175,9.0426,10.65,3.716,16.1576,8.7701,11.0632,3.5364
ID1053_12_R6.0_W0.1067_Ang40,ID1053_12_R6.0_W0.1067.csv,40,16.0913,10.9343,8.95,4.275,15.8562,10.1598,9.9164,3.7777
ID1053_12_R6.0_W0.1067_Ang60,ID1053_12_R6.0_W0.1067.csv,60,16.0584,13.3511,7.36,5.051,15.4112,12.4386,8.5743,3.922
ID1053_12_R6.0_W0.1067_Ang80,ID1053_12_R6.0_W0.1067.csv,80,16.0847,15.1728,6.45,5.665,15.059,14.131,7.9045,4.0566
ID1054_12_R6.0_W0.1389_Ang0,ID1054_12_R6.0_W0.1389.csv,0,16.632,7.7405,11.83,2.923,16.6406,7.7257,11.8404,2.9724
ID1054_12_R6.0_W0.1389_Ang20,ID1054_12_R6.0_W0.1389.csv,20,16.5737,8.4044,10.97,3.112,16.5038,8.1442,11.4189,3.0492
ID1054_12_R6.0_W0.1389_Ang40,ID1054_12_R6.0_W0.1389.csv,40,16.4486,10.2233,9.16,3.636,16.1375,9.5849,10.1479,3.2059
ID1054_12_R6.0_W0.1389_Ang60,ID1054_12_R6.0_W0.1389.csv,60,16.4174,12.5995,7.46,4.572,15.6176,11.9812,8.6679,3.3634
ID1054_12_R6.0_W0.1389_Ang80,ID1054_12_R6.0_W0.1389.csv,80,16.3972,14.36,6.56,3.244,15.2603,13.9346,7.8059,3.4815
ID1055_12_R6.0_W0.1711_Ang0,ID1055_12_R6.0_W0.1711.csv,0,16.9303,7.3451,12.03,2.51,16.8926,7.348,12.0804,2.5086
ID1055_12_R6.0_W0.1711_Ang20,ID1055_12_R6.0_W0.1711.csv,20,16.8887,7.8572,11.3,2.742,16.7897,7.6062,11.8137,2.6455
ID1055_12_R6.0_W0.1711_Ang40,ID1055_12_R6.0_W0.1711.csv,40,16.7636,9.6657,9.33,3.261,16.3454,9.1174,10.3987,2.805
ID1055_12_R6.0_W0.1711_Ang60,ID1055_12_R6.0_W0.1711.csv,60,16.6891,11.993,7.58,4.256,15.7955,11.6759,8.6953,3.0212
ID1055_12_R6.0_W0.1711_Ang80,ID1055_12_R6.0_W0.1711.csv,80,16.6759,13.7432,6.63,4.089,15.3978,13.5765,7.8693,2.9762
ID1056_12_R6.0_W0.2033_Ang0,ID1056_12_R6.0_W0.2033.csv,0,17.1876,6.8824,12.46,2.247,17.2178,6.8785,12.422,2.2601
ID1056_12_R6.0_W0.2033_Ang20,ID1056_12_R6.0_W0.2033.csv,20,17.1117,7.5277,11.49,2.38,17.0629,7.306,11.9085,2.3439
ID1056_12_R6.0_W0.2033_Ang40,ID1056_12_R6.0_W0.2033.csv,40,16.947,9.3121,9.47,2.705,16.5883,8.8975,10.3459,2.4868
ID1056_12_R6.0_W0.2033_Ang60,ID1056_12_R6.0_W0.2033.csv,60,16.8796,11.6153,7.65,3.445,15.9664,11.5922,8.5716,2.6359
ID1056_12_R6.0_W0.2033_Ang80,ID1056_12_R6.0_W0.2033.csv,80,16.8401,13.56,6.59,8.605,15.5648,13.5999,7.6881,2.675
ID1057_12_R6.0_W0.2356_Ang0,ID1057_12_R6.0_W0.2356.csv,0,17.4795,6.4863,12.78,2.018,17.4993,6.4669,12.7909,2.0275
ID1057_12_R6.0_W0.2356_Ang20,ID1057_12_R6.0_W0.2356.csv,20,17.4085,6.9762,11.98,2.294,17.3469,6.7666,12.4402,2.156
ID1057_12_R6.0_W0.2356_Ang40,ID1057_12_R6.0_W0.2356.csv,40,17.2494,8.6708,9.82,2.786,16.8404,8.4362,10.5874,2.4864
ID1057_12_R6.0_W0.2356_Ang60,ID1057_12_R6.0_W0.2356.csv,60,17.1619,10.8874,7.9,3.324,16.1292,11.292,8.6227,2.5756
ID1057_12_R6.0_W0.2356_Ang80,ID1057_12_R6.0_W0.2356.csv,80,17.0668,12.6075,6.9,3.964,15.656,13.3357,7.7493,2.5196
ID1058_12_R6.0_W0.2678_Ang0,ID1058_12_R6.0_W0.2678.csv,0,17.8765,6.016,13.18,1.93,17.9147,6.0032,13.1475,1.9785
ID1058_12_R6.0_W0.2678_Ang20,ID1058_12_R6.0_W0.2678.csv,20,17.6508,6.6762,12.18,1.962,17.6295,6.4771,12.5829,1.953
ID1058_12_R6.0_W0.2678_Ang40,ID1058_12_R6.0_W0.2678.csv,40,17.4751,8.2729,10.03,2.358,17.0288,8.1549,10.7116,2.183
ID1058_12_R6.0_W0.2678_Ang60,ID1058_12_R6.0_W0.2678.csv,60,17.3337,10.4194,8.09,2.698,16.2815,11.2211,8.5156,2.347
ID1058_12_R6.0_W0.2678_Ang80,ID1058_12_R6.0_W0.2678.csv,80,17.2946,11.9844,7.07,3.776,15.7655,13.3708,7.622,2.3235
ID1059_12_R6.0_W0.3_Ang0,ID1059_12_R6.0_W0.3.csv,0,18.077,5.7918,13.38,1.615,18.1125,5.7719,13.3773,1.6683
ID1059_12_R6.0_W0.3_Ang20,ID1059_12_R6.0_W0.3.csv,20,17.9632,6.3127,12.44,1.856,17.8634,6.1317,12.9458,1.7855
ID1059_12_R6.0_W0.3_Ang40,ID1059_12_R6.0_W0.3.csv,40,17.7445,7.965,10.1,2.07,17.2241,7.9761,10.7047,1.8943
ID1059_12_R6.0_W0.3_Ang60,ID1059_12_R6.0_W0.3.csv,60,17.5986,10.1178,8.08,2.408,16.4117,11.1801,8.4118,2.1361
ID1059_12_R6.0_W0.3_Ang80,ID1059_12_R6.0_W0.3.csv,80,17.5363,11.7364,7.02,3.205,15.8646,13.4396,7.4886,2.054
ID1060_12_R7.0_W0.01_Ang0,ID1060_12_R7.0_W0.01.csv,0,12.3706,14.3039,11.57,11.695,12.3756,14.2907,11.5732,11.6088
ID1060_12_R7.0_W0.01_Ang20,ID1060_12_R7.0_W0.01.csv,20,12.2918,15.3712,10.91,12.226,12.4153,14.7808,11.118,11.8315
ID1060_12_R7.0_W0.01_Ang40,ID1060_12_R7.0_W0.01.csv,40,12.3758,17.6382,9.38,13.978,12.1419,16.2475,10.575,12.3211
ID1060_12_R7.0_W0.01_Ang60,ID1060_12_R7.0_W0.01.csv,60,12.3904,20.9166,7.89,16.652,11.9355,18.1979,9.771,12.9284
ID1060_12_R7.0_W0.01_Ang80,ID1060_12_R7.0_W0.01.csv,80,12.442,23.4848,6.97,18.247,11.7554,19.6234,9.341,13.2151
ID1061_12_R7.0_W0.0478_Ang0,ID1061_12_R7.0_W0.0478.csv,0,13.0238,12.174,12.27,5.856,13.1335,12.1169,12.1196,5.8718
ID1061_12_R7.0_W0.0478_Ang20,ID1061_12_R7.0_W0.0478.csv,20,12.9495,13.0722,11.56,6.149,13.119,12.5515,11.7258,5.9994
ID1061_12_R7.0_W0.0478_Ang40,ID1061_12_R7.0_W0.0478.csv,40,12.9899,15.3592,9.77,7.089,12.8257,14.0821,10.9347,6.2987
ID1061_12_R7.0_W0.0478_Ang60,ID1061_12_R7.0_W0.0478.csv,60,12.9749,18.5179,8.13,8.324,12.5487,16.2243,9.9147,6.5508
ID1061_12_R7.0_W0.0478_Ang80,ID1061_12_R7.0_W0.0478.csv,80,13.052,20.9362,7.1,9.329,12.3169,17.8062,9.377,6.7241
ID1062_12_R7.0_W0.0856_Ang0,ID1062_12_R7.0_W0.0856.csv,0,13.4746,10.8788,12.82,4.347,13.56,10.8505,12.6962,4.3896
ID1062_12_R7.0_W0.0856_Ang20,ID1062_12_R7.0_W0.0856.csv,20,13.4329,11.7279,11.97,4.446,13.5177,11.3094,12.2573,4.3269
ID1062_12_R7.0_W0.0856_Ang40,ID1062_12_R7.0_W0.0856.csv,40,13.4199,13.9981,10.05,5.155,13.1818,12.8936,11.3062,4.5559
ID1062_12_R7.0_W0.0856_Ang60,ID1062_12_R7.0_W0.0856.csv,60,13.4017,17.0624,8.27,6.261,12.8718,15.1792,10.0719,4.8059
ID1062_12_R7.0_W0.0856_Ang80,ID1062_12_R7.0_W0.0856.csv,80,13.4215,19.3554,7.26,6.779,12.6283,16.8999,9.3987,4.8957
ID1063_12_R7.0_W0.1233_Ang0,ID1063_12_R7.0_W0.1233.csv,0,13.8007,9.9153,13.41,3.385,13.9456,9.8265,13.2546,3.4149
ID1063_12_R7.0_W0.1233_Ang20,ID1063_12_R7.0_W0.1233.csv,20,13.7702,10.7121,12.47,3.555,13.8728,10.3209,12.7526,3.4662
ID1063_12_R7.0_W0.1233_Ang40,ID1063_12_R7.0_W0.1233.csv,40,13.7227,12.8716,10.45,4.205,13.5073,11.9291,11.6386,3.6384
ID1063_12_R7.0_W0.1233_Ang60,ID1063_12_R7.0_W0.1233.csv,60,13.7228,15.8994,8.46,4.988,13.1222,14.4166,10.2039,3.8297
ID1063_12_R7.0_W0.1233_Ang80,ID1063_12_R7.0_W0.1233.csv,80,13.7328,18.1306,7.41,5.459,12.8579,16.211,9.4514,3.8843
ID1064_12_R7.0_W0.1611_Ang0,ID1064_12_R7.0_W0.1611.csv,0,14.1678,9.1153,13.84,2.933,14.1969,9.0982,13.8132,2.9106
ID1064_12_R7.0_W0.1611_Ang20,ID1064_12_R7.0_W0.1611.csv,20,14.1242,9.9051,12.82,3.13,14.1135,9.6004,13.2459,2.9697
ID1064_12_R7.0_W0.1611_Ang40,ID1064_12_R7.0_W0.1611.csv,40,14.0383,12.0557,10.66,3.606,13.7275,11.2399,11.959,3.141
ID1064_12_R7.0_W0.1611_Ang60,ID1064_12_R7.0_W0.1611.csv,60,14.0134,14.9443,8.63,4.255,13.2865,13.7578,10.4296,3.2729
ID1064_12_R7.0_W0.1611_Ang80,ID1064_12_R7.0_W0.1611.csv,80,14.0082,17.1939,7.51,5.294,13.0225,15.8031,9.4518,3.3426
ID1065_12_R7.0_W0.1989_Ang0,ID1065_12_R7.0_W0.1989.csv,0,14.4265,8.4817,14.35,2.461,14.4499,8.435,14.3821,2.4747
ID1065_12_R7.0_W0.1989_Ang20,ID1065_12_R7.0_W0.1989.csv,20,14.3901,9.221,13.27,2.724,14.3462,8.8967,13.8337,2.6291
ID1065_12_R7.0_W0.1989_Ang40,ID1065_12_R7.0_W0.1989.csv,40,14.2581,11.3853,10.94,3.069,13.9416,10.6399,12.2483,2.6653
ID1065_12_R7.0_W0.1989_Ang60,ID1065_12_R7.0_W0.1989.csv,60,14.2172,14.1744,8.84,3.717,13.4639,13.3414,10.4736,2.8674
ID1065_12_R7.0_W0.1989_Ang80,ID1065_12_R7.0_W0.1989.csv,80,14.232,16.3567,7.65,4.36,13.1612,15.4271,9.4791,3.0267
ID1066_12_R7.0_W0.2367_Ang0,ID1066_12_R7.0_W0.2367.csv,0,14.7079,7.9167,14.79,2.24,14.6913,7.8684,14.9154,2.339
ID1066_12_R7.0_W0.2367_Ang20,ID1066_12_R7.0_W0.2367.csv,20,14.6416,8.689,13.6,2.419,14.601,8.4093,14.1291,2.4444
ID1066_12_R7.0_W0.2367_Ang40,ID1066_12_R7.0_W0.2367.csv,40,14.4718,10.7343,11.27,2.723,14.1512,10.1588,12.4513,2.6271
ID1066_12_R7.0_W0.2367_Ang60,ID1066_12_R7.0_W0.2367.csv,60,14.4209,13.4424,9.06,3.385,13.5998,12.9242,10.5966,2.6702
ID1066_12_R7.0_W0.2367_Ang80,ID1066_12_R7.0_W0.2367.csv,80,14.3904,15.5872,7.85,3.562,13.3025,15.2849,9.3651,2.5832
ID1067_12_R7.0_W0.2744_Ang0,ID1067_12_R7.0_W0.2744.csv,0,14.9953,7.4488,15.12,2.128,14.9199,7.4542,15.2654,1.9921
ID1067_12_R7.0_W0.2744_Ang20,ID1067_12_R7.0_W0.2744.csv,20,14.9002,8.1808,13.95,2.278,14.7995,7.9149,14.6117,2.1038
ID1067_12_R7.0_W0.2744_Ang40,ID1067_12_R7.0_W0.2744.csv,40,14.6949,10.1884,11.51,2.566,14.3147,9.7513,12.6769,2.2163
