Angle,Frequency_GHz,S11_TE_Re,S11_TE_Im,S11_TM_Re,S11_TM_Im,S21_TE_Re,S21_TE_Im,S21_TM_Re,S21_TM_Im
0.0,0.0,-4.2264893510431194e-07,-7.121969405566621e-06,-1.9755884561749048e-07,-6.838129605109689e-06,0.9999999999924051,-3.89737624476246e-06,0.9999998221368968,-3.992402778343899e-06
0.0,0.02,-5.680144580183299e-07,-0.00048399536309563974,-3.8986239601587073e-07,-0.00048296177446314906,0.9999997688372264,-0.000498353980100395,0.9999995208481766,-0.0004976297544813494
0.0,0.04,-1.1781553275052563e-06,-0.0009608736270700607,-1.0441142918649587e-06,-0.0009590912804776726,0.9999989227849192,-0.0009928105507399849,0.9999987500298161,-0.0009912702312909907
0.0,0.06,-2.253060033805775e-06,-0.0014377600656897362,-2.16029463603093e-06,-0.00143523001442529,0.9999976076506325,-0.0014872705056504368,0.9999975096529876,-0.001484917168040488
0.0,0.08,-3.79274387606928e-06,-0.0019146579437100467,-3.7384815024550594e-06,-0.0019113812406597703,0.9999958233652273,-0.0019817373176359366,0.9999957996744901,-0.001978573862301198
0.0,0.1,-5.797180670090109e-06,-0.0023915709753846094,-5.778636632509251e-06,-0.0023875480903245865,0.9999935698459491,-0.002476214110262093,0.9999936200368017,-0.0024722437860556544
0.0,0.12,-8.266422816349261e-06,-0.002868501931571461,-8.28087264788804e-06,-0.0028637340564916995,0.9999908469946237,-0.002970704722467572,0.9999909706687572,-0.0029659300446123233
0.0,0.14,-1.1200491972488983e-05,-0.0033454547958989005,-1.1245227228934253e-05,-0.003339942487078377,0.999987654700885,-0.0034652121901012226,0.9999878514839959,-0.0034596361968710827
0.0,0.16,-1.4599436552393476e-05,-0.00382243256441599,-1.4671788759419027e-05,-0.003816176829563794,0.999983992838102,-0.0039597402468585915,0.9999842623820936,-0.0039533656269718515
0.0,0.18,-1.8463397594660238e-05,-0.004299438543426334,-1.8560705139854085e-05,-0.004292440065991329,0.9999798612670936,-0.004454292102528255,0.9999802032489943,-0.004447121544261747
0.0,0.2,-2.2792394679966384e-05,-0.004776476062405955,-2.291202050146e-05,-0.004768736077097525,0.9999752598352926,-0.004948870966555295,0.9999756739563468,-0.004940907157790998
0.0,0.22,-2.758653023651724e-05,-0.005253548096704214,-2.772582328177791e-05,-0.005245067509958671,0.9999701883720248,-0.005443480746114087,0.9999706743610777,-0.0054347261998741745
0.0,0.24,-3.284595574587542e-05,-0.005730658996870367,-3.300231219676829e-05,-0.005721437724782141,0.9999646466982961,-0.005938124475325787,0.999965204304778,-0.0059285817043196205
0.0,0.26,-3.8570747176415186e-05,-0.0062078114452119035,-3.874154790116916e-05,-0.0061978507764787845,0.9999586346146736,-0.006432805711422866,0.9999592636166446,-0.006422477053608043
0.0,0.28,-4.4761094616144286e-05,-0.0066850092859740045,-4.494387040972191e-05,-0.006674308914269982,0.9999521519132305,-0.006927527836649809,0.9999528521119238,-0.006916415629785259
0.0,0.3,-5.1417034329073634e-05,-0.007162254670439314,-5.1609382706802826e-05,-0.007150816594412112,0.9999451983687668,-0.007422294058176844,0.9999459695871635,-0.007410400988925591
0.0,0.32,-5.853895936197291e-05,-0.007639552159673822,-5.8738148461219805e-05,-0.007627376290696273,0.9999377737417724,-0.007917108106212545,0.999938615831056,-0.007904436163039054
0.0,0.34,-6.612694944641763e-05,-0.008116904537347631,-6.633054031395353e-05,-0.008103991991106419,0.999929877777564,-0.008411973361296416,0.9999307906134818,-0.008398524707158227
0.0,0.36,-7.418120338210849e-05,-0.008594316095216688,-7.43867472936542e-05,-0.008580666666476194,0.999921510212502,-0.008906893028849464,0.9999224936908236,-0.008892669826673557
0.0,0.38,-8.27019275789409e-05,-0.00907178823801668,-8.290705647508533e-05,-0.009057403313325822,0.99991267076259,-0.009401870662643941,0.9999137248048809,-0.009386875075422255
0.0,0.4,-9.168926912255324e-05,-0.00954932626364988,-9.1891571523525e-05,-0.009534205962054754,0.999903359132398,-0.009896909641242142,0.9999044836860236,-0.009881143483017307
0.0,0.42,-0.00010114360943698469,-0.010026932840222168,-0.00010134049547093699,-0.010011076951879132,0.9998935750125285,-0.01039201334247468,0.9998947700423002,-0.010375478950972121
0.0,0.44,-0.00011106530678614042,-0.010504611055150541,-0.00011125439926057924,-0.010488021452006654,0.9998833180777144,-0.01088718531791837,0.9998845835781495,-0.01086988433298249
0.0,0.46,-0.00012145432611532441,-0.010982365521174653,-0.00012163348063472612,-0.010965041543155628,0.9998725879888934,-0.011382428769280748,0.9998739239760005,-0.011364363180041357
0.0,0.48,-0.0001323113049488515,-0.011460197643271202,-0.00013247791226406644,-0.011442139623877806,0.999861384394988,-0.011877747246519858,0.9998627909060479,-0.011858918867833674
0.0,0.5,-0.00014363632004628073,-0.011938111131511999,-0.0001437880770481753,-0.01191932060555026,0.9998497069258548,-0.012373144124127362,0.9998511840245234,-0.012353554771217886
0.0,0.52,-0.00015542963549936787,-0.012416112058441701,-0.00015556434658690126,-0.012396587697746108,0.9998375551997365,-0.012868622950243724,0.9998391029724857,-0.012848274089641964
0.0,0.54,-0.00016769184985908578,-0.012894199215049758,-0.00016780709540944466,-0.012873943816276177,0.9998249288217361,-0.013364187097542082,0.9998265473738405,-0.013343080545213801
0.0,0.56,-0.0001804230152591392,-0.013372380455803466,-0.00018051671069417889,-0.013351392354431335,0.9998118273795281,-0.013859839937669304,0.9998135168440448,-0.013837977161043404
0.0,0.58,-0.00019362376283114038,-0.01385065680961816,-0.0001936933300126468,-0.013828935611285653,0.9997982504491113,-0.01435558484128513,0.9998000109789253,-0.014332967482797115
0.0,0.6,-0.00020729427749160807,-0.01432903055598957,-0.00020733785674243712,-0.014306578985349917,0.9997841975910653,-0.014851425352511109,0.9997860293614308,-0.014828054880614158
0.0,0.62,-0.00022143504412564722,-0.014807508647623039,-0.00022145021440894442,-0.014784326189068924,0.9997696683497176,-0.015347364839811998,0.9997715715582373,-0.01532324272355604
0.0,0.64,-0.00023604644556025726,-0.015286090513601438,-0.0002360310252537353,-0.015262178244073577,0.9997546622577159,-0.015843406670561114,0.9997566371289547,-0.0158185343797116
0.0,0.66,-0.00025112898643510627,-0.01576478326423554,-0.0002510804371113067,-0.015740138632611103,0.9997391788320237,-0.016339554385479578,0.9997412256042554,-0.01631393321582221
0.0,0.68,-0.00026668306379305995,-0.01624358657619408,-0.0002665994451701782,-0.016218212297740054,0.9997232175672158,-0.01683581152395044,0.9997253365077416,-0.01680944259757736
